id,paren_types,ko_forms,en_fix,en_alias,source_note,memo
r0012,alternative,,,,,
r0047,optional,,,,,
r0108,optional,,,,,
r0144,optional,,,,,
r0154,,겉보기 무관 회귀|보기에 무관한 회귀,,,,대괄호 전개 교정 예시
r0249,optional,,,,,
r0257,optional,,,,,
r0264,,,,metric multidimensional scaling,,원문 철자 multidemensional
r0290,,,,hierarchical Bayes model,,원문 철자 hierachical
r0291,,,,hierarchical agglomerative clustering,,원문 철자 hierachical
r0298,optional,,,,,
r0299,optional;optional,,,,,
r0353,optional,,,,,
r0355,,공간표집|공간표본추출,,,,대괄호 전개 교정 (수식어 손실 수정)
r0371,,,,cointegration test,,원문 철자 cointregration
r0373,optional,,,,,
r0445,optional,,,,,
r0452,,교환가능변수|호환변수|호환가능변수,,,,대괄호 전개 교정 (수식어 손실 수정)
r0453,,교환가능사건|호환사건|호환가능사건,,,,대괄호 전개 교정 (수식어 손실 수정)
r0485,optional,,,,,
r0486,optional,,,,,
r0487,optional,,,,,
r0531,,균등표집비|균등표본추출비,,,,대괄호 전개 교정 (수식어 손실 수정)
r0565,optional,,,,,
r0575,optional,,,,,
r0585,optional,,,,,
r0636,optional,,,,,
r0656,optional,,,,,
r0753,optional,,,,,
r0812,,,,multiple correlation coefficient,,원문 철자 mutiple correlration
r0843,optional,,,,,
r0854,optional,단순한|단순,naïve,naive,,원천 문자 깨짐(na?ve) 교정
r0881,optional,,,,,
r0947,optional,,,,,
r0948,optional,,,,,
r0961,,,,symmetric integration,,원문 철자 symetric
r0968,optional,,,,,
r1001,optional,,,,,
r1027,optional,,,,,
r1130,,런 검정|런 검증|연검정|연검증,,,,대괄호 전개 교정 (수식어 손실 수정)
r1136,,,Lévy process,Levy process,,원천 문자 깨짐(L?vy) 교정
r1225,optional,,,,,
r1234,optional,,,,,
r1235,optional,,,,,
r1277,optional,,,,,
r1301,optional,,,,,
r1310,optional,,,,,
r1328,optional,,,,,
r1423,optional,,,,,
r1447,optional,,,,,
r1452,optional,,,,,
r1460,optional,,,,,
r1498,optional,,,,,
r1532,optional,,,,,
r1552,optional,,,,,
r1600,optional,,,,,
r1641,optional,,,,,
r1679,optional,,,,,
r1759,optional,,,,,
r1763,optional;optional,,,,,
r1790,optional,,,,,
r1821,optional,,,,,
r1875,optional,,,,,
r1884,optional,,,,,
r2004,optional,,,,,
r2045,optional,,,,,
r2059,optional,,,,,
r2064,optional,,,,,
r2081,optional,,,,,
r2124,optional;optional,,,,,
r2125,optional,,,,,
r2126,optional,,,,,
r2152,optional,,,,,
r2192,optional,,,,,
r2255,optional,,,,,
r2303,optional,,,,,
r2340,optional,,,,,
r2361,optional,,,,,
r2396,optional,,,,,
r2427,optional,,,,,
r2484,optional,,,,,
r2486,optional,,,,,
r2487,optional,,,,,
r2550,optional,,,,,
r2556,optional,,,,,
r2571,optional,,,,,
r2590,alternative,,,,,
r2621,annotation,,,,,
r2667,optional,,,,,
r2710,,이산멱급수분포|이산거듭곱급수분포,,,,대괄호 전개 교정 (수식어 손실 수정)
r2728,,이상표집|이상표본추출,,,,대괄호 전개 교정 (수식어 손실 수정)
r2802,optional,,,,,
r2843,optional,,,,,
r2882,optional,,,,,
r2884,optional,,,,,
r2890,optional,,,,,
r2908,optional,,,,,
r3020,optional,,,,,
r3040,optional,,,,,
r3045,optional,,,,,
r3050,optional,,,,,
r3095,optional,,,,,
r3140,optional,,,,,
r3141,optional,,,,,
r3142,optional,,,,,
r3191,optional,,,,,
r3242,optional,,,,,
r3334,optional,,,,,
r3360,optional,,,,,
r3366,optional,,,,,
r3375,optional,,,,,
r3408,optional;optional,,,,,
r3442,optional,,,,,
r3443,optional,,,,,
r3527,optional,,,,,
r3553,optional,,,,,
r3563,optional,,,,,
r3576,alternative,,,,,
r3578,alternative,,,,,
r3606,optional,,,,,
r3683,optional,,,,,
r3686,optional,,,,,
r3691,optional,,,,,
r3767,optional,,,,,
r3781,optional,,,,,
r3792,optional,,,,,
r3804,optional,,,,,
r3809,optional,,,,,
r3862,optional,,,,,
r3877,optional,,,,,
r3882,optional,,,,,
r3897,optional,,,,,
r3970,optional;optional;optional,,,,,
r3971,optional,,,,,
r3985,optional,,,,,
r3992,optional;optional,,,,,
r3999,optional,,,,,
r4059,optional,,,,,
r4123,optional,,,,,
r4162,optional,,,,,
r4181,optional;optional,,,,,
r4191,optional,,,,,
r4250,optional,,,,,
r4272,optional,,,,,
r4295,,칸도수|칸빈도,,,,대괄호 전개 교정 (수식어 손실 수정)
r4342,optional,,,,,
r4421,optional,,,,,
r4422,optional,,,,,
r4500,optional,,,,,
r4525,optional,,,,,
r4537,optional,,,,,
r4576,optional,,,,,
r4577,optional,,,,,
r4589,optional,,,,,
r4590,optional,,,,,
r4624,optional,,,,,
r4635,optional,,,,,
r4638,optional,,,,,
r4821,optional,,,,,
r4889,alternative,,,,,
r4892,optional,,,,,
r4931,optional,,,,,
r4934,optional,,,,,
r4952,optional,,,,,
r4961,optional,,,,,
r4995,optional,,,,,
r4996,optional,,,,,
r5009,optional,,,,,
r5020,optional,,,,,
