id,ko_raw,en,ko_forms,flags
r0004,가능도[우도]비 검정[검증],likelihood ratio test,가능도비 검정 | 가능도비 검증 | 우도비 검정 | 우도비 검증,
r0014,가변추출[표집]비,variable sampling rate,가변추출비 | 가변표집비,
r0018,가브리엘의 검정[검증],Gabriel's test,가브리엘의 검정 | 가브리엘의 검증,
r0026,가설검정[검증],hypothesis testing,가설검정 | 가설검증,
r0027,가설검정[검증],test of hypothesis,가설검정 | 가설검증,
r0074,가트의 검정[검증],Gart's test,가트의 검정 | 가트의 검증,
r0142,검사-재검사 신뢰성[신뢰도],test-retest reliability,검사-재검사 신뢰성 | 검사-재검사 신뢰도,
r0144,검정[검증](의) 결합,combination of tests,검정의 결합 | 검정 결합 | 검증의 결합 | 검증 결합,
r0145,검정[검증]력,power,검정력 | 검증력,
r0146,검정[검증]력,power of test,검정력 | 검증력,
r0147,검정[검증]력 곡선,power curve,검정력 곡선 | 검증력 곡선,
r0148,검정[검증]력 함수,power function,검정력 함수 | 검증력 함수,
r0149,검정[검증]의 크기,size of a test,검정의 크기 | 검증의 크기,
r0150,검정[검증]의 크기,test size,검정의 크기 | 검증의 크기,
r0151,검정[검증]통계량,test statistic,검정통계량 | 검증통계량,
r0154,겉보기 무관[보기에 무관한] 회귀,seemingly unrelated regression,겉보기 무관 회귀 | 보기에 무관한 회귀,forms_overridden
r0159,격자무늬방격[정방],plaid square,격자무늬방격 | 격자무늬정방,
r0183,결합도수[빈도],joint frequency,결합도수 | 결합빈도,
r0217,경시적[다시점] 자료,longitudinal data,경시적 자료 | 다시점 자료,
r0218,경시적[다시점] 조사,longitudinal survey,경시적 조사 | 다시점 조사,
r0219,경시적[다시점] 효과,longitudinal effect,경시적 효과 | 다시점 효과,
r0247,계급도수[빈도],class frequency,계급도수 | 계급빈도,
r0253,계단[단계] 스트레스 시험,step stress testing,계단 스트레스 시험 | 단계 스트레스 시험,
r0268,계속적 검정[검증],consecutive test,계속적 검정 | 계속적 검증,
r0355,공간표집[표본추출],spatial sampling,공간표집 | 공간표본추출,forms_overridden
r0452,"교환가능변수, 호환[가능]변수",exchangeable variable,교환가능변수 | 호환변수 | 호환가능변수,forms_overridden
r0453,"교환가능사건, 호환[가능]사건",exchangeable event,교환가능사건 | 호환사건 | 호환가능사건,forms_overridden
r0480,구형성검정[검증],sphericity test,구형성검정 | 구형성검증,
r0486,국소(적)최강력 검정[검증],locally most powerful test,국소적최강력 검정 | 국소적최강력 검증 | 국소최강력 검정 | 국소최강력 검증,
r0522,귀납적 행동[행위],inductive behaviour,귀납적 행동 | 귀납적 행위,
r0531,균등표집[표본추출]비,uniform sampling fraction,균등표집비 | 균등표본추출비,forms_overridden
r0537,균일최강력검정[검증],uniformly most powerful test,균일최강력검정 | 균일최강력검증,
r0560,그레코-라틴 방격[정방],Graeco-Latin square,그레코-라틴 방격 | 그레코-라틴 정방,
r0600,글레져의 회귀검정[검증],Glejser's regression test,글레져의 회귀검정 | 글레져의 회귀검증,
r0614,기각표본추출[기각표집],rejection sampling,기각표본추출 | 기각표집,
r0619,기대도수[빈도],expected frequency,기대도수 | 기대빈도,
r0623,기록값검정[검증],records test,기록값검정 | 기록값검증,
r0690,나무대립[대안]가설,tree alternative hypothesis,나무대립가설 | 나무대안가설,
r0713,내적[내부적] 스튜던트화 잔차,internally Studentized residual,내적 스튜던트화 잔차 | 내부적 스튜던트화 잔차,
r0740,누적도수[빈도],cumulative frequency,누적도수 | 누적빈도,
r0741,누적도수[빈도]곡선,ogive,누적도수곡선 | 누적빈도곡선,
r0742,누적도수[빈도]분포,cumulative frequency distribution,누적도수분포 | 누적빈도분포,
r0745,누적상대도수[빈도],cumulative relative frequency,누적상대도수 | 누적상대빈도,
r0755,뉴만-쿨스 검정[검증],Newman-Keuls test,뉴만-쿨스 검정 | 뉴만-쿨스 검증,
r0763,니퀴스트 도수[빈도],Nyquist frequency,니퀴스트 도수 | 니퀴스트 빈도,
r0770,다면체[다면형] 그림,polyhedrons plot,다면체 그림 | 다면형 그림,
r0809,다중범위검정[검증],multiple range test,다중범위검정 | 다중범위검증,
r0829,다항[수준]회귀모형,polychotomous regression model,다항회귀모형 | 수준회귀모형,
r0860,"단순임의[단순랜덤,단순확률]표본",simple random sample,단순임의표본 | 단순랜덤표본 | 단순확률표본,
r0861,"단순임의[단순랜덤,단순확률]표집",simple random sampling,단순임의표집 | 단순랜덤표집 | 단순확률표집,
r0862,"단순임의화[랜덤화,확률화]",simple randomization,단순임의화 | 단순랜덤화 | 단순확률화,
r0901,단측검정[검증],one-sided test,단측검정 | 단측검증,
r0902,단측대립[대안]가설,one-sided alternative hypothesis,단측대립가설 | 단측대안가설,
r0903,단측대립가설[대안가설],one sided alternative,단측대립가설 | 단측대안가설,
r0912,닫힌[폐] 순차적 검정[검증],closed sequential test,닫힌 순차적 검정 | 닫힌 순차적 검증 | 폐 순차적 검정 | 폐 순차적 검증,
r0949,대칭검정[검증],symmetrical test,대칭검정 | 대칭검증,
r0976,던칸의 다중범위검정[검증],Duncan's multiple range test,던칸의 다중범위검정 | 던칸의 다중범위검증,
r0985,델파이[델피] 기법,Delphi technique,델파이 기법 | 델피 기법,
r0990,도수[빈도],frequency,도수 | 빈도,
r0991,도수[빈도]곡선,frequency curve,도수곡선 | 빈도곡선,
r0992,도수[빈도]다각형,frequency polygon,도수다각형 | 빈도다각형,
r0993,도수[빈도]분포,frequency distribution,도수분포 | 빈도분포,
r0994,도수[빈도]함수,frequency function,도수함수 | 빈도함수,
r1005,독립성검정[검증],test of independence,독립성검정 | 독립성검증,
r1040,동질성검정[검증],test of homogeneity,동질성검정 | 동질성검증,
r1046,되풀이[순환]방법,recursive method,되풀이방법 | 순환방법,
r1057,등간격 검정[검증],equal spacing test,등간격 검정 | 등간격 검증,
r1095,디폴트 베이즈 인수[인자],default Bayes factor,디폴트 베이즈 인수 | 디폴트 베이즈 인자,
r1114,라오의 점수화검정[검증],Rao's scoring test,라오의 점수화검정 | 라오의 점수화검증,
r1116,"라틴 방격[정방,정사각형]",Latin square,라틴 방격 | 라틴 정방 | 라틴 정사각형,
r1117,라틴 방격[정방]설계,Latin square design,라틴 방격설계 | 라틴 정방설계,
r1125,랄리 검정[검증],Rayleigh test,랄리 검정 | 랄리 검증,
r1130,"런 검정[검증], 연검정[검증]",run test,런 검정 | 런 검증 | 연검정 | 연검증,forms_overridden
r1134,레만 대립가설[대안],Lehmann alternative,레만 대립가설 | 레만 대안,
r1135,레만의 검정[검증],Lehmann's test,레만의 검정 | 레만의 검증,
