id,ko_raw,en,paren_contents,paren_types,reviewed,ko_forms
r0012,가변(변동)추출간격,variable sampling interval,변동,alternative,yes,가변추출간격 | 변동추출간격
r0047,가우스-조르단 소거(법),Gauss-Jordan elimination,법,optional,yes,가우스-조르단 소거법 | 가우스-조르단 소거
r0108,개념(적)모집단,conceptual population,적,optional,yes,개념적모집단 | 개념모집단
r0144,검정[검증](의) 결합,combination of tests,의,optional,yes,검정의 결합 | 검정 결합 | 검증의 결합 | 검증 결합
r0249,계급의 합동(화),pooling of classes,화,optional,yes,계급의 합동화 | 계급의 합동
r0257,"계량(형), 거리",metric,형,optional,yes,계량형 | 계량 | 거리
r0298,"고른 수렴, 균등수렴(성)",uniform convergence,성,optional,yes,고른 수렴 | 균등수렴성 | 균등수렴
r0299,"고른 연속(성), 균등연속(성)",uniform continuity,성;성,optional;optional,yes,고른 연속성 | 고른 연속 | 균등연속성 | 균등연속
r0353,공간통계(학),spatial statistics,학,optional,yes,공간통계학 | 공간통계
r0373,공정(한) 게임,equitable game,한,optional,yes,공정한 게임 | 공정 게임
r0445,교차타당성(입증),cross-validation,입증,optional,yes,교차타당성입증 | 교차타당성
r0485,국소(적)가측인,locally measurable,적,optional,yes,국소적가측인 | 국소가측인
r0486,국소(적)최강력 검정[검증],locally most powerful test,적,optional,yes,국소적최강력 검정 | 국소적최강력 검증 | 국소최강력 검정 | 국소최강력 검증
r0487,국소(적)최적설계,locally optimal design,적,optional,yes,국소적최적설계 | 국소최적설계
r0565,그룹(화) 자료,grouped data,화,optional,yes,그룹화 자료 | 그룹 자료
r0575,극단(의),extremal,의,optional,yes,극단의 | 극단
r0585,"극한, 한계, 극한(값)",limit,값,optional,yes,극한 | 한계 | 극한값
r0636,기술통계(학),descriptive statistics,학,optional,yes,기술통계학 | 기술통계
r0656,기준년(도),base year,도,optional,yes,기준년도 | 기준년
r0753,누적합(관리)도,cumulative sum chart,관리,optional,yes,누적합관리도 | 누적합도
r0843,단(일)반응값,single response,일,optional,yes,단일반응값 | 단반응값
r0854,단순(한),naïve,한,optional,yes,단순한 | 단순
r0881,단일연결(법),single linkage,법,optional,yes,단일연결법 | 단일연결
r0947,대치(법),imputation,법,optional,yes,대치법 | 대치
r0948,대칭(적),symmetric,적,optional,yes,대칭적 | 대칭
r0968,대표(적)표본,representative sample,적,optional,yes,대표적표본 | 대표표본
r1001,독립(적)이며 같은 분포를 따르는,independently and identically distributed,적,optional,yes,독립적이며 같은 분포를 따르는 | 독립이며 같은 분포를 따르는
r1027,동시(적),simultaneous,적,optional,yes,동시적 | 동시
r1225,"멱등(인), 제곱이 같은",idempotent,인,optional,yes,멱등인 | 멱등 | 제곱이 같은
r1234,명목(형),nominal,형,optional,yes,명목형 | 명목
r1235,명목(형)변수,nominal variable,형,optional,yes,명목형변수 | 명목변수
r1277,모형기반표본추출(법),model based sampling,법,optional,yes,모형기반표본추출법 | 모형기반표본추출
r1301,무관(한),unrelated,한,optional,yes,무관한 | 무관
r1310,무어-펜로즈 역(행렬),Moore-Penrose inverse,행렬,optional,yes,무어-펜로즈 역행렬 | 무어-펜로즈 역
r1328,무한분해가능(한),infinitely divisible,한,optional,yes,무한분해가능한 | 무한분해가능
r1423,베이즈(적) 추론,Bayesian inference,적,optional,yes,베이즈적 추론 | 베이즈 추론
r1447,변량(형)통계,statistics of variates,형,optional,yes,변량형통계 | 변량통계
r1452,변수(형)통계,statistics of variables,형,optional,yes,변수형통계 | 변수통계
r1460,"변이(성), 변동",variability,성,optional,yes,변이성 | 변이 | 변동
r1498,"보조(적), 보각의",supplementary,적,optional,yes,보조적 | 보조 | 보각의
r1532,볼록(한),convex,한,optional,yes,볼록한 | 볼록
r1552,부분균형배열(표),partially balanced array,표,optional,yes,부분균형배열표 | 부분균형배열
r1600,분류(학),taxonomy,학,optional,yes,분류학 | 분류
r1641,"분포무관(한), 분포에 의존하지 않는",distribution-free,한,optional,yes,분포무관한 | 분포무관 | 분포에 의존하지 않는
r1679,불연속(성),discontinuity,성,optional,yes,불연속성 | 불연속
r1759,"비모수적, 비파라미터(적)",nonparametric,적,optional,yes,비모수적 | 비파라미터적 | 비파라미터
r1763,"비부합(의), 비일치(의)",discordant,의;의,optional;optional,yes,비부합의 | 비부합 | 비일치의 | 비일치
r1790,비음(의),nonnegative,의,optional,yes,비음의 | 비음
r1821,비중심(성)모수,noncentrality parameter,성,optional,yes,비중심성모수 | 비중심모수
r1875,반복(가능)성,repeatability,가능,optional,yes,반복가능성 | 반복성
r1884,반복선형보간(법),iterated linear interpolation,법,optional,yes,반복선형보간법 | 반복선형보간
r2004,속성(형)통계,statistics of attributes,형,optional,yes,속성형통계 | 속성통계
r2045,수정관리한계(선),modified control limit,선,optional,yes,수정관리한계선 | 수정관리한계
r2059,수치(의),numerical,의,optional,yes,수치의 | 수치
r2064,수치적 불안정(성),numerical instability,성,optional,yes,수치적 불안정성 | 수치적 불안정
r2081,"순서, 계, 차(수)",order,수,optional,yes,순서 | 계 | 차수 | 차
r2124,"순차(적), 축차(적)",sequential,적;적,optional;optional,yes,순차적 | 순차 | 축차적 | 축차
r2125,순차(적)검정[검증],sequential test,적,optional,yes,순차적검정 | 순차적검증 | 순차검정 | 순차검증
r2126,순차(적)분석,sequential analysis,적,optional,yes,순차적분석 | 순차분석
